name,type,input,output,pads,strides,W,B
Conv_0,Conv,Tensor_input.1,Tensor_input.4,3,2,Tensor_Conv_193,Tensor_Conv_194
Relu_1,Relu,Tensor_input.4,Tensor_MaxPool_125,,,,
MaxPool_2,MaxPool,Tensor_MaxPool_125,Tensor_input.8,,,,
Conv_3,Conv,Tensor_input.8,Tensor_input.16,1,1,Tensor_Conv_196,Tensor_Conv_197
Relu_4,Relu,Tensor_input.16,Tensor_Conv_129,,,,
Conv_5,Conv,Tensor_Conv_129,Tensor_Add_198,1,1,Tensor_Conv_199,Tensor_Conv_200
Add_6,Add,"Tensor_Add_198,Tensor_input.8",Tensor_Relu_132,,,,
Relu_7,Relu,Tensor_Relu_132,Tensor_input.24,,,,
Conv_8,Conv,Tensor_input.24,Tensor_input.32,1,1,Tensor_Conv_202,Tensor_Conv_203
Relu_9,Relu,Tensor_input.32,Tensor_Conv_136,,,,
Conv_10,Conv,Tensor_Conv_136,Tensor_Add_204,1,1,Tensor_Conv_205,Tensor_Conv_206
Add_11,Add,"Tensor_Add_204,Tensor_input.24",Tensor_Relu_139,,,,
Relu_12,Relu,Tensor_Relu_139,Tensor_input.40,,,,
Conv_13,Conv,Tensor_input.40,Tensor_input.48,1,2,Tensor_Conv_208,Tensor_Conv_209
Relu_14,Relu,Tensor_input.48,Tensor_Conv_143,,,,
Conv_15,Conv,Tensor_Conv_143,Tensor_Add_210,1,1,Tensor_Conv_211,Tensor_Conv_212
Conv_16,Conv,Tensor_input.40,Tensor_Add_213,0,2,Tensor_Conv_214,Tensor_Conv_215
Add_17,Add,"Tensor_Add_210,Tensor_Add_213",Tensor_Relu_148,,,,
Relu_18,Relu,Tensor_Relu_148,Tensor_input.60,,,,
Conv_19,Conv,Tensor_input.60,Tensor_input.68,1,1,Tensor_Conv_217,Tensor_Conv_218
Relu_20,Relu,Tensor_input.68,Tensor_Conv_152,,,,
Conv_21,Conv,Tensor_Conv_152,Tensor_Add_219,1,1,Tensor_Conv_220,Tensor_Conv_221
Add_22,Add,"Tensor_Add_219,Tensor_input.60",Tensor_Relu_155,,,,
Relu_23,Relu,Tensor_Relu_155,Tensor_input.76,,,,
Conv_24,Conv,Tensor_input.76,Tensor_input.84,1,2,Tensor_Conv_223,Tensor_Conv_224
Relu_25,Relu,Tensor_input.84,Tensor_Conv_159,,,,
Conv_26,Conv,Tensor_Conv_159,Tensor_Add_225,1,1,Tensor_Conv_226,Tensor_Conv_227
Conv_27,Conv,Tensor_input.76,Tensor_Add_228,0,2,Tensor_Conv_229,Tensor_Conv_230
Add_28,Add,"Tensor_Add_225,Tensor_Add_228",Tensor_Relu_164,,,,
Relu_29,Relu,Tensor_Relu_164,Tensor_input.96,,,,
Conv_30,Conv,Tensor_input.96,Tensor_input.104,1,1,Tensor_Conv_232,Tensor_Conv_233
Relu_31,Relu,Tensor_input.104,Tensor_Conv_168,,,,
Conv_32,Conv,Tensor_Conv_168,Tensor_Add_234,1,1,Tensor_Conv_235,Tensor_Conv_236
Add_33,Add,"Tensor_Add_234,Tensor_input.96",Tensor_Relu_171,,,,
Relu_34,Relu,Tensor_Relu_171,Tensor_input.112,,,,
Conv_35,Conv,Tensor_input.112,Tensor_input.120,1,2,Tensor_Conv_238,Tensor_Conv_239
Relu_36,Relu,Tensor_input.120,Tensor_Conv_175,,,,
Conv_37,Conv,Tensor_Conv_175,Tensor_Add_240,1,1,Tensor_Conv_241,Tensor_Conv_242
Conv_38,Conv,Tensor_input.112,Tensor_Add_243,0,2,Tensor_Conv_244,Tensor_Conv_245
Add_39,Add,"Tensor_Add_240,Tensor_Add_243",Tensor_Relu_180,,,,
Relu_40,Relu,Tensor_Relu_180,Tensor_input.132,,,,
Conv_41,Conv,Tensor_input.132,Tensor_input.140,1,1,Tensor_Conv_247,Tensor_Conv_248
Relu_42,Relu,Tensor_input.140,Tensor_Conv_184,,,,
Conv_43,Conv,Tensor_Conv_184,Tensor_Add_249,1,1,Tensor_Conv_250,Tensor_Conv_251
Add_44,Add,"Tensor_Add_249,Tensor_input.132",Tensor_Relu_187,,,,
Relu_45,Relu,Tensor_Relu_187,Tensor_input.148,,,,
GlobalAveragePool_46,GlobalAveragePool,Tensor_input.148,Tensor_Flatten_189,,,,
Flatten_47,Flatten,Tensor_Flatten_189,Tensor_Gemm_190,,,,
Gemm_48,Gemm,Tensor_Gemm_190,Tensor_191,,,Tensor_fc.weight,Tensor_fc.bias
